run_accession	sample_accession	accession	experiment_accession	base_count	fastq_bytes	fastq_ftp
DRR001466	SAMD00015677	SAMD00015677	DRX001020	12788005	5576939	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001466/DRR001466.fastq.gz
DRR001467	SAMD00015680	SAMD00015680	DRX001021	14606263	6136542	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001467/DRR001467.fastq.gz
DRR001468	SAMD00015681	SAMD00015681	DRX001022	13470712	4817619	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001468/DRR001468.fastq.gz
DRR001469	SAMD00015673	SAMD00015673	DRX001023	14535284	6331754	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001469/DRR001469.fastq.gz
DRR001470	SAMD00015679	SAMD00015679	DRX001024	14428053	5442981	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001470/DRR001470.fastq.gz
DRR001471	SAMD00015676	SAMD00015676	DRX001025	12752108	5450482	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001471/DRR001471.fastq.gz
DRR001472	SAMD00015678	SAMD00015678	DRX001026	14102138	5266101	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001472/DRR001472.fastq.gz
DRR001473	SAMD00015672	SAMD00015672	DRX001027	10919152	4493799	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001473/DRR001473.fastq.gz
DRR001474	SAMD00015675	SAMD00015675	DRX001028	9905515	3796629	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001474/DRR001474.fastq.gz
DRR001475	SAMD00015674	SAMD00015674	DRX001029	12660865	5551362	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001475/DRR001475.fastq.gz
DRR001476	SAMD00015682	SAMD00015682	DRX001030	13938479	5777515	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001476/DRR001476.fastq.gz
DRR001477	SAMD00015680	SAMD00015680	DRX001031	6361217	2141228	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001477/DRR001477.fastq.gz
DRR001478	SAMD00015681	SAMD00015681	DRX001032	6181624	1937750	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001478/DRR001478.fastq.gz
